"","meanSIS","meanRain","nEvents","windowstart","windowend","hours","variable","value","measure"
"257",153.877877952195,1.03516483516484,351,1999-02-18,1999-05-19,184.316666666667,"Belinda",57,"stren"
"258",229.431272104618,1.17362637362637,275,1999-08-17,1999-11-15,101.166666666667,"Belinda",87,"stren"
"259",115.423959062294,0.879120879120879,277,2000-05-13,2000-08-11,57.7833333333333,"Belinda",38,"stren"
"260",116.188203461321,0.492307692307692,930,2001-05-08,2001-08-06,304.733333333333,"Belinda",187,"stren"
"261",194.647092702859,1.36703296703297,1006,2001-08-06,2001-11-04,360.816666666667,"Belinda",250,"stren"
"262",281.952382471119,1.10549450549451,384,2001-11-04,2002-02-02,161.666666666667,"Belinda",117,"stren"
"263",195.672306732752,0.630769230769231,463,2002-02-02,2002-05-03,259.3,"Belinda",123,"stren"
"284",115.423959062294,0.879120879120879,277,2000-05-13,2000-08-11,57.7833333333333,"Queenie",8,"stren"
"285",116.188203461321,0.492307692307692,930,2001-05-08,2001-08-06,304.733333333333,"Queenie",160,"stren"
"286",194.647092702859,1.36703296703297,1006,2001-08-06,2001-11-04,360.816666666667,"Queenie",28,"stren"
"287",281.952382471119,1.10549450549451,384,2001-11-04,2002-02-02,161.666666666667,"Queenie",3,"stren"
"314",221.762815127641,1.05714285714286,519,2002-08-01,2002-10-30,86.55,"Olga",1,"stren"
"315",194.889315364791,1.75824175824176,780,2003-01-28,2003-04-28,196.616666666667,"Olga",146,"stren"
"316",114.000779670787,1.49450549450549,1771,2003-04-28,2003-07-27,284.35,"Olga",487,"stren"
"317",199.659365200692,1.05274725274725,713,2003-07-27,2003-10-25,172.4,"Olga",162,"stren"
"318",285.345857569609,0.703296703296703,684,2003-10-25,2004-01-23,170.95,"Olga",173,"stren"
"319",196.49287659664,1.65934065934066,1549,2004-01-23,2004-04-22,327.8,"Olga",372,"stren"
"320",117.464646961206,0.70989010989011,2018,2004-04-22,2004-07-21,405.333333333333,"Olga",459,"stren"
"321",288.554791884825,1.61538461538462,1271,2004-10-19,2005-01-17,283.25,"Olga",300,"stren"
"322",190.992201581347,0.775824175824176,345,2005-07-16,2005-10-14,121.866666666667,"Olga",48,"stren"
"323",301.689234566828,0.602197802197802,480,2005-10-14,2006-01-12,174.383333333333,"Olga",97,"stren"
"324",215.151421241374,0.298901098901099,540,2006-01-12,2006-04-12,251.783333333333,"Olga",99,"stren"
"325",171.824312852352,2.32747252747253,573,2006-07-11,2006-10-09,172.066666666667,"Olga",99,"stren"
"337",281.952382471119,1.10549450549451,384,2001-11-04,2002-02-02,161.666666666667,"Christina",1,"stren"
"340",194.889315364791,1.75824175824176,780,2003-01-28,2003-04-28,196.616666666667,"Christina",266,"stren"
"341",114.000779670787,1.49450549450549,1771,2003-04-28,2003-07-27,284.35,"Christina",554,"stren"
"342",199.659365200692,1.05274725274725,713,2003-07-27,2003-10-25,172.4,"Christina",223,"stren"
"343",285.345857569609,0.703296703296703,684,2003-10-25,2004-01-23,170.95,"Christina",178,"stren"
"344",196.49287659664,1.65934065934066,1549,2004-01-23,2004-04-22,327.8,"Christina",412,"stren"
"345",117.464646961206,0.70989010989011,2018,2004-04-22,2004-07-21,405.333333333333,"Christina",449,"stren"
"346",288.554791884825,1.61538461538462,1271,2004-10-19,2005-01-17,283.25,"Christina",303,"stren"
"347",190.992201581347,0.775824175824176,345,2005-07-16,2005-10-14,121.866666666667,"Christina",102,"stren"
"348",301.689234566828,0.602197802197802,480,2005-10-14,2006-01-12,174.383333333333,"Christina",116,"stren"
"349",215.151421241374,0.298901098901099,540,2006-01-12,2006-04-12,251.783333333333,"Christina",149,"stren"
"350",171.824312852352,2.32747252747253,573,2006-07-11,2006-10-09,172.066666666667,"Christina",122,"stren"
"361",194.647092702859,1.36703296703297,1006,2001-08-06,2001-11-04,360.816666666667,"Jane",1,"stren"
"364",221.762815127641,1.05714285714286,519,2002-08-01,2002-10-30,86.55,"Jane",127,"stren"
"365",194.889315364791,1.75824175824176,780,2003-01-28,2003-04-28,196.616666666667,"Jane",123,"stren"
"366",114.000779670787,1.49450549450549,1771,2003-04-28,2003-07-27,284.35,"Jane",380,"stren"
"367",199.659365200692,1.05274725274725,713,2003-07-27,2003-10-25,172.4,"Jane",126,"stren"
"368",285.345857569609,0.703296703296703,684,2003-10-25,2004-01-23,170.95,"Jane",86,"stren"
"369",196.49287659664,1.65934065934066,1549,2004-01-23,2004-04-22,327.8,"Jane",255,"stren"
"370",117.464646961206,0.70989010989011,2018,2004-04-22,2004-07-21,405.333333333333,"Jane",372,"stren"
"371",288.554791884825,1.61538461538462,1271,2004-10-19,2005-01-17,283.25,"Jane",202,"stren"
"372",190.992201581347,0.775824175824176,345,2005-07-16,2005-10-14,121.866666666667,"Jane",45,"stren"
"373",301.689234566828,0.602197802197802,480,2005-10-14,2006-01-12,174.383333333333,"Jane",65,"stren"
"374",215.151421241374,0.298901098901099,540,2006-01-12,2006-04-12,251.783333333333,"Jane",47,"stren"
"375",171.824312852352,2.32747252747253,573,2006-07-11,2006-10-09,172.066666666667,"Jane",125,"stren"
"376",123.083386613225,1.28571428571429,1334,1997-05-29,1997-08-27,278,"Julia",208,"stren"
"377",253.786315655469,1.76043956043956,1769,1997-08-27,1997-11-25,406,"Julia",513,"stren"
"378",280.90089787264,1.11428571428571,1521,1997-11-25,1998-02-23,259.5,"Julia",306,"stren"
"379",155.275202807579,2.61758241758242,880,1998-02-23,1998-05-24,147.5,"Julia",165,"stren"
"380",128.256327465637,1.29450549450549,777,1998-05-24,1998-08-22,174.683333333333,"Julia",148,"stren"
"381",240.136666684914,1.15604395604396,1142,1998-08-22,1998-11-20,394.983333333333,"Julia",262,"stren"
"382",153.877877952195,1.03516483516484,351,1999-02-18,1999-05-19,184.316666666667,"Julia",60,"stren"
"383",229.431272104618,1.17362637362637,275,1999-08-17,1999-11-15,101.166666666667,"Julia",53,"stren"
"384",115.423959062294,0.879120879120879,277,2000-05-13,2000-08-11,57.7833333333333,"Julia",35,"stren"
"401",123.083386613225,1.28571428571429,1334,1997-05-29,1997-08-27,278,"Kersty",149,"stren"
"402",253.786315655469,1.76043956043956,1769,1997-08-27,1997-11-25,406,"Kersty",264,"stren"
"403",280.90089787264,1.11428571428571,1521,1997-11-25,1998-02-23,259.5,"Kersty",183,"stren"
"426",123.083386613225,1.28571428571429,1334,1997-05-29,1997-08-27,278,"Amy",127,"stren"
"427",253.786315655469,1.76043956043956,1769,1997-08-27,1997-11-25,406,"Amy",170,"stren"
"428",280.90089787264,1.11428571428571,1521,1997-11-25,1998-02-23,259.5,"Amy",348,"stren"
"429",155.275202807579,2.61758241758242,880,1998-02-23,1998-05-24,147.5,"Amy",134,"stren"
"451",123.083386613225,1.28571428571429,1334,1997-05-29,1997-08-27,278,"Natalie",150,"stren"
"452",253.786315655469,1.76043956043956,1769,1997-08-27,1997-11-25,406,"Natalie",243,"stren"
